map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,peak_lps,mean_lps,calibration,drifted_%,passed,fail
HM_LM_MM_HM_LC,A+D,2,commercial,low,0.05,0.75,27.98934555053711,48.49589538574219,100.0,700.9177729779411,278.8978079984726,0.4130193087846067,100.0,True,
HM_LM_MM_HM_LC,A+D,2,commercial,low,0.05,1.0,29.02947998046875,48.49627685546875,100.0,678.7278663595093,273.4412856017972,0.30351763104879836,100.0,True,
HM_LM_MM_HM_LC,A+D,2,industrial,low,0.05,0.0,32.03663635253906,48.49021530151367,100.0,633.0876704744644,292.8000893697739,1.0,100.0,True,
HM_LM_MM_HM_LC,A+D,2,industrial,low,0.05,0.25,31.20274543762207,48.489891052246094,100.0,646.6425830869905,300.6747780072655,0.7497455677781865,100.0,True,
HM_LM_MM_HM_LC,A+D,2,industrial,low,0.05,0.5,29.931385040283203,48.489540100097656,100.0,668.2396633492151,311.85014232575253,0.5583376357763052,100.0,True,
HM_LM_MM_HM_LC,A+D,2,industrial,low,0.05,0.75,28.06222152709961,48.489158630371094,100.0,700.1138560857723,327.16402296481823,0.4130193087846067,100.0,True,
HM_LM_MM_HM_LC,A+D,2,industrial,low,0.05,1.0,25.366626739501953,48.4887580871582,100.0,744.8897985835747,347.59999734528327,0.30351763104879836,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,mixed,low,0.05,0.0,29.434520721435547,48.491764068603516,100.0,687.3002485058516,290.86047327584953,1.0,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,mixed,low,0.05,0.25,32.654911041259766,48.49315643310547,100.0,621.9517941830559,275.88604263997985,0.7497455677781865,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,mixed,low,0.05,0.5,33.30634307861328,48.49437713623047,100.0,600.5274682801015,261.4673319847611,0.5583376357763052,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,mixed,low,0.05,0.75,33.49834442138672,48.49544143676758,100.0,593.5928482627188,247.73793725382683,0.4130193087846067,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,mixed,low,0.05,1.0,33.71025085449219,48.4963493347168,100.0,586.3633555883619,234.80915266047305,0.30351763104879836,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,commercial,low,0.05,0.0,21.34928321838379,48.49740219116211,100.0,832.0592372747216,286.0419480767209,1.0,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,commercial,low,0.05,0.25,20.3111572265625,48.4973030090332,100.0,849.0902202471542,289.16300149972176,0.7497455677781865,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,commercial,low,0.05,0.5,19.5969181060791,48.49723434448242,100.0,860.6405321928232,291.278715328818,0.5583376357763052,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,commercial,low,0.05,0.75,19.23008155822754,48.497196197509766,100.0,866.5218207037817,292.3545947504367,0.4130193087846067,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,commercial,low,0.05,1.0,19.217952728271484,48.497196197509766,100.0,866.7156573843847,292.3873092381816,0.30351763104879836,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,industrial,low,0.05,0.0,32.95235061645508,48.49021530151367,100.0,613.8516565044752,286.02813444505443,1.0,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,industrial,low,0.05,0.25,33.118492126464844,48.489891052246094,100.0,607.3128537490697,332.74830003734644,0.7497455677781865,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,industrial,low,0.05,0.5,30.255586624145508,48.489540100097656,100.0,671.750280210218,392.0172080861998,0.5583376357763052,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,industrial,low,0.05,0.75,19.321138381958008,48.489158630371094,100.0,865.6179058095191,466.665864963176,0.4130193087846067,100.0,True,
HM_LM_MM_HM_LC,A+B+C+D+E,5,industrial,low,0.05,1.0,2.398914337158203,48.4887580871582,93.12227840988902,1108.1157653304615,560.0410728882802,0.30351763104879836,100.0,False,"V3_floor,V4_band"
LC_LI_HI_MC_LI,A,1,mixed,low,0.05,0.0,37.724082946777344,47.753726959228516,100.0,501.3082505751468,285.37240626935215,1.0,100.0,True,
LC_LI_HI_MC_LI,A,1,mixed,low,0.05,0.25,38.54878616333008,47.67212677001953,100.0,481.7298901570354,284.0325993582555,0.6072685101263197,100.0,True,
LC_LI_HI_MC_LI,A,1,mixed,low,0.05,0.5,39.16762924194336,47.596866607666016,100.0,466.18148201843434,283.1421067478713,0.3651928792222638,100.0,True,
LC_LI_HI_MC_LI,A,1,mixed,low,0.05,0.75,39.68581771850586,47.52920913696289,100.0,452.78150465051317,282.5779511901643,0.21774508834640058,100.0,True,
LC_LI_HI_MC_LI,A,1,mixed,low,0.05,1.0,40.11513137817383,47.4697380065918,100.0,441.39907761593815,282.24297964452006,0.12887596379182437,100.0,True,
LC_LI_HI_MC_LI,A,1,commercial,low,0.05,0.0,37.45088577270508,47.753726959228516,100.0,509.69876432825953,285.08279796108667,1.0,100.0,True,
LC_LI_HI_MC_LI,A,1,commercial,low,0.05,0.25,38.20751190185547,47.67212677001953,100.0,491.4681975163589,284.6588512357214,0.6072685101263197,100.0,True,
LC_LI_HI_MC_LI,A,1,commercial,low,0.05,0.5,38.855037689208984,47.596866607666016,100.0,475.3614757133779,284.2829465152956,0.3651928792222638,100.0,True,
LC_LI_HI_MC_LI,A,1,commercial,low,0.05,0.75,39.400657653808594,47.52920913696289,100.0,461.3857492562305,283.9558480454386,0.21774508834640058,100.0,True,
LC_LI_HI_MC_LI,A,1,commercial,low,0.05,1.0,39.85444641113281,47.4697380065918,100.0,449.44743513572865,283.6758609018077,0.12887596379182437,100.0,True,
LC_LI_HI_MC_LI,A,1,industrial,low,0.05,0.0,37.88279342651367,47.753726959228516,100.0,497.6145774004077,285.04121357414573,1.0,100.0,True,
LC_LI_HI_MC_LI,A,1,industrial,low,0.05,0.25,38.56715774536133,47.67212677001953,100.0,481.16647441583535,286.688060573766,0.6072685101263197,100.0,True,
LC_LI_HI_MC_LI,A,1,industrial,low,0.05,0.5,39.10647964477539,47.596866607666016,100.0,467.16357307197876,288.1056120164385,0.3651928792222638,100.0,True,
LC_LI_HI_MC_LI,A,1,industrial,low,0.05,0.75,39.42527770996094,47.52920913696289,100.0,460.5679152310462,289.30335764019367,0.21774508834640058,100.0,True,
LC_LI_HI_MC_LI,A,1,industrial,low,0.05,1.0,39.69585037231445,47.4697380065918,100.0,454.80401209351925,290.29858836139124,0.12887596379182437,100.0,True,
LC_LI_HI_MC_LI,B,1,mixed,low,0.05,0.0,33.66674041748047,48.24264907836914,100.0,606.8063991522038,286.7158676436265,1.0,100.0,True,
LC_LI_HI_MC_LI,B,1,mixed,low,0.05,0.25,37.235198974609375,48.2234001159668,100.0,518.4094813014684,268.85688767117585,0.6072685101263197,100.0,True,
