map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,drifted_%,front_done,peak_lps,mean_lps,calibration,mass_err,dd_err,passed,fail
LR_LR_LR_LR_LR,A+B+C+D+E,5,mixed,low,0.05,0.0,30.78935432434082,48.4178581237793,100.0,100.0,True,660.0721887880209,299.8153837489577,1.0,0.0,1.5172653840404434e-07,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,mixed,low,0.05,0.25,20.766199111938477,48.37137222290039,100.0,100.0,True,840.937029355537,381.96867944773606,1.0,9.275372292449902e-08,1.5711200160878356e-07,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,mixed,low,0.05,0.5,5.070487976074219,48.29857635498047,92.56742520016856,100.0,True,1071.3604008672714,486.63304148933474,1.0,7.54696500848695e-08,1.2928185818042272e-07,False,V4_band
LR_LR_LR_LR_LR,A+B+C+D+E,5,commercial,low,0.05,0.0,26.287456512451172,48.38684844970703,100.0,100.0,True,746.0729641569615,294.8066682827467,1.0,0.0,1.6958895445360117e-07,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,commercial,low,0.05,0.25,3.397885322570801,48.27024841308594,88.34808259587021,100.0,True,1093.6391941776285,432.14843787653194,1.0,8.315186050822376e-08,1.3175149611742145e-07,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,A+B+C+D+E,5,industrial,low,0.05,0.0,42.8157958984375,46.8936767578125,100.0,100.0,True,357.53911179888826,283.9066211565342,1.0,0.0,1.1945115886156008e-07,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,industrial,low,0.05,0.25,31.58539390563965,43.72001266479492,100.0,100.0,True,644.2346698491006,511.56389017941495,1.0,0.0,1.350276340920429e-07,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,industrial,low,0.05,0.5,-1.8332234621047974,34.2759895324707,66.90370838600927,100.0,True,1160.8194987154748,921.7735488853128,1.0,0.0,1.3191343978348973e-07,False,"V3_floor,V4_band"
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,0.0,34.815277099609375,48.4365119934082,100.0,100.0,True,561.5025060166641,306.0242628093424,1.0,1.0983866616243176e-07,1.6259215396043984e-07,True,
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,0.25,35.682228088378906,48.43132781982422,100.0,100.0,True,548.8650884085619,308.91763930215154,0.8717672077939201,1.0872154376784238e-07,1.2706782333153942e-07,True,
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,0.5,36.5040168762207,48.425941467285156,100.0,100.0,True,544.7549521817923,311.5237107409924,0.7436077341569077,1.0769642955210657e-07,1.308693263033811e-07,True,
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,0.75,35.597103118896484,48.42057418823242,100.0,100.0,True,568.7729542442866,313.6971395134672,0.6204383761886211,2.1361566382438468e-07,1.4695333591585255e-07,True,
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,1.0,34.26677703857422,48.415435791015625,100.0,100.0,True,600.0696035982376,315.3322800423995,0.5065819095692691,1.0608685840907128e-07,1.395551775315673e-07,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,0.0,34.94542694091797,48.4350471496582,100.0,100.0,True,557.8374320472726,305.733757876174,1.0,1.0989350585077773e-07,1.6259215396043984e-07,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,0.25,35.69476318359375,48.42794418334961,100.0,100.0,True,548.5061108356007,311.45484831522185,0.8717672077939201,0.0,1.2706782333153942e-07,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,0.5,36.1264533996582,48.41991424560547,100.0,100.0,True,556.8772432142725,317.8568259184552,0.7436077341569077,0.0,1.308693263033811e-07,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,0.75,34.3181266784668,48.411102294921875,100.0,100.0,True,603.4026166611804,324.8027136591917,0.6204383761886211,1.0382733250935416e-07,1.4695333591585255e-07,True,
LR_LM_LC_LR_LR,A,1,commercial,low,0.05,1.0,32.352073669433594,48.4017333984375,100.0,100.0,True,649.1752567966366,332.1190726251521,0.5065819095692691,0.0,1.395551775315673e-07,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,0.0,35.06449508666992,48.401546478271484,100.0,100.0,True,554.4662922592734,305.1015563699606,1.0,1.0991463028631188e-07,1.6259215396043984e-07,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,0.25,35.65167236328125,48.36629867553711,100.0,100.0,True,549.7394580063792,315.4702841736037,0.8717672077939201,1.0662991911658537e-07,1.2706782333153942e-07,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,0.5,36.02231979370117,48.3087043762207,100.0,100.0,True,555.0866231962524,330.29095742484134,0.7436077341569077,0.0,1.308693263033811e-07,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,0.75,34.6351432800293,48.213340759277344,100.0,100.0,True,594.9793625516716,351.1558357985058,0.6204383761886211,9.69906039927082e-08,1.4750137186534396e-07,True,
LR_LM_LC_LR_LR,A,1,industrial,low,0.05,1.0,31.92540168762207,48.05454635620117,100.0,100.0,True,659.6914367891261,380.05747532415745,0.5065819095692691,0.0,1.4251747621710565e-07,True,
